,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
1043,Lille Esport,LFL2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
1054,Maturalni Forsaken,UL,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0
1055,Illuminar Gaming,UL,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0
1066,Los Heretics,LVP SL,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
1067,Rebels Gaming,LVP SL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
1078,Klanik Esport,LFL2,1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,1,0,0,0,0,0
1079,ViV Esport,LFL2,0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
1090,Movistar Riders,LVP SL,1,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,1,0,0,0,0,1,0,1
1091,BISONS ECLUB,LVP SL,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0
1102,Zero Tenacity,UL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
1103,Goskilla,UL,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1,0,0,0,0,1,0,0
1114,Atletec,LFL2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0
1115,Team du Sud,LFL2,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0
1126,Barça eSports,LVP SL,1,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,1.0,1,0,0,0,0,1,0,1
1127,Finetwork KOI,LVP SL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
1138,exeed,UL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
